Data written below has such format (subject to change):
hour(UTC), minute, second, millisecond
Temperature(°C), pressure(hPa), humidity(%), altitude(m)
1,53,52,129
27.21,988.02,57.88,212.21

1,53,52,329
27.51,988.04,57.95,212.04

1,53,53,929
27.87,988.06,57.80,211.87

1,53,54,88
28.18,988.08,57.58,211.53

1,53,55,728
28.37,988.10,57.26,211.70

1,53,55,929
28.54,988.10,56.98,211.70

1,53,57,528
28.63,988.10,56.63,211.36

1,53,57,728
28.74,988.12,56.37,211.53

1,53,59,329
28.78,988.10,56.05,211.36

1,53,59,528
28.85,988.10,55.82,211.70

1,54,1,129
28.88,988.08,55.54,211.53

1,54,1,329
28.94,988.12,55.38,211.53

1,54,2,929
28.95,988.12,55.16,211.36

1,54,3,129
29.00,988.10,54.99,211.36

1,54,4,728
29.01,988.12,54.81,211.36

1,54,4,929
29.06,988.10,54.75,211.53

1,54,6,528
29.06,988.10,54.66,211.53

1,54,6,728
29.11,988.12,54.65,211.19

1,54,8,329
29.11,988.10,54.59,211.36

1,54,8,528
29.15,988.14,54.54,211.36

1,54,10,129
29.15,988.14,54.47,211.53

1,54,10,329
29.19,988.12,54.42,211.53

1,54,11,929
29.19,988.12,54.35,211.53

1,54,12,88
29.22,988.12,54.34,211.36

1,54,13,728
29.22,988.12,54.23,211.53

1,54,13,929
29.26,988.08,54.19,211.70

1,54,15,528
29.26,988.08,54.08,211.70

1,54,15,728
29.30,988.08,54.00,211.53

1,54,17,329
29.29,988.08,53.88,211.87

1,54,17,528
29.33,988.08,53.81,211.53

1,54,19,129
29.32,988.08,53.77,211.36

1,54,19,329
29.35,988.12,53.79,211.36

1,54,20,929
29.35,988.12,53.74,211.53

1,54,21,129
29.38,988.08,53.72,211.53

1,54,22,728
29.38,988.10,53.65,211.53

1,54,22,929
29.41,988.10,53.61,211.70

1,54,24,528
29.40,988.10,53.51,211.53

1,54,24,728
29.43,988.08,53.42,211.70

1,54,26,329
29.43,988.10,53.34,211.70

1,54,26,528
29.46,988.06,53.29,211.87

1,54,28,129
29.45,988.08,53.24,211.87

1,54,28,329
29.48,988.08,53.18,211.87

1,54,29,929
29.48,988.08,53.10,211.70

1,54,30,88
29.51,988.08,53.06,211.36

1,54,31,749
29.49,988.08,52.96,211.87

1,54,31,949
29.52,988.08,52.92,211.70

1,54,33,548
29.51,988.08,52.81,211.53

1,54,33,749
29.54,988.10,52.78,211.53

1,54,35,348
29.54,988.08,52.68,211.36

1,54,35,548
29.57,988.10,52.64,211.70

1,54,37,129
29.57,988.10,52.55,211.70

1,54,37,329
29.60,988.08,52.51,211.70

1,54,38,929
29.59,988.10,52.42,211.70

1,54,39,129
29.61,988.08,52.35,211.53

1,54,40,728
29.60,988.10,52.31,211.70

1,54,40,929
29.63,988.08,52.26,211.87

1,54,42,530
29.62,988.06,52.18,211.87

1,54,42,729
29.64,988.08,52.13,211.87

1,54,44,330
29.63,988.08,52.07,211.87

1,54,44,530
29.65,988.06,52.04,211.70

1,54,46,130
29.65,988.08,51.96,211.70

1,54,46,330
29.67,988.08,51.95,211.87

1,54,47,929
29.66,988.08,51.88,211.70

1,54,48,88
29.69,988.08,51.85,211.70

1,54,49,728
29.68,988.06,51.79,211.87

1,54,49,929
29.70,988.06,51.79,211.87

1,54,51,528
29.69,988.06,51.72,211.87

1,54,51,728
29.71,988.06,51.70,211.53

1,54,53,329
29.70,988.08,51.66,211.87

1,54,53,528
29.73,988.06,51.64,211.53

1,54,55,130
29.72,988.06,51.60,211.87

1,54,55,330
29.74,988.06,51.59,211.53

1,54,56,929
29.73,988.08,51.55,211.70

1,54,57,130
29.75,988.06,51.55,211.53

1,54,58,729
29.74,988.08,51.49,211.53

1,54,58,929
29.77,988.08,51.50,211.53

1,55,0,548
29.75,988.06,51.46,211.53

1,55,0,749
29.77,988.10,51.47,211.53

1,55,2,348
29.76,988.12,51.45,211.53

1,55,2,548
29.79,988.10,51.44,211.36

1,55,4,148
29.78,988.10,51.41,211.36

1,55,4,348
29.80,988.12,51.41,211.53

1,55,5,949
29.79,988.10,51.37,211.53

1,55,6,88
29.81,988.10,51.38,211.53

1,55,7,749
29.80,988.10,51.35,211.53

1,55,7,949
29.82,988.10,51.33,211.70

1,55,9,548
29.81,988.08,51.31,211.70

1,55,9,749
29.83,988.08,51.32,211.53

1,55,11,348
29.82,988.10,51.31,211.53

1,55,11,548
29.85,988.10,51.33,211.87

1,55,13,148
29.83,988.08,51.31,211.70

1,55,13,348
29.86,988.10,51.35,211.53

1,55,14,949
29.84,988.10,51.33,211.53

1,55,15,148
29.87,988.10,51.36,211.70

1,55,16,749
29.85,988.08,51.33,211.70

1,55,16,949
29.87,988.08,51.35,211.70

1,55,18,548
29.86,988.10,51.32,211.70

1,55,18,749
29.89,988.10,51.34,211.87

1,55,20,348
29.87,988.08,51.31,211.70

1,55,20,548
29.89,988.08,51.29,211.70

1,55,22,148
29.88,988.06,51.27,211.53

1,55,22,348
29.90,988.08,51.26,211.87

1,55,23,949
29.89,988.08,51.24,211.70

Data acquisition stopped from keyboard
