Temperature(°C), pressure(hPa), humidity(%), altitude(m)
25.04,990.73,48.49,189.21

25.25,990.73,48.54,189.21

25.53,990.75,48.55,189.04

25.74,990.75,48.54,188.87

25.88,990.75,48.47,188.87

25.98,990.75,48.41,188.70

26.04,990.79,48.32,188.87

26.09,990.77,48.26,189.04

26.12,990.79,48.16,188.87

26.15,990.77,48.08,188.87

26.17,990.77,48.00,189.04

26.19,990.75,47.93,188.87

26.21,990.75,47.86,188.87

26.23,990.79,47.79,188.70

26.24,990.79,47.71,188.70

26.25,990.77,47.65,188.87

26.26,990.79,47.58,188.70

26.27,990.77,47.53,188.87

26.29,990.79,47.47,188.70

26.30,990.79,47.40,188.87

26.31,990.79,47.35,188.70

26.32,990.79,47.30,188.70

26.33,990.77,47.27,188.87

26.34,990.79,47.23,188.70

26.35,990.77,47.17,188.87

26.36,990.77,47.13,188.87

26.37,990.75,47.08,189.04

26.38,990.77,47.04,188.87

26.39,990.75,47.00,189.04

26.40,990.77,46.98,188.87

26.42,990.75,46.93,188.87

26.43,990.73,46.89,188.87

26.44,990.77,46.86,188.87

26.46,990.77,46.85,189.04

26.46,990.75,46.81,189.04

26.47,990.75,46.79,189.21

26.48,990.75,46.78,189.04

26.49,990.75,46.76,189.04

26.50,990.75,46.73,189.04

26.51,990.75,46.72,189.04

26.51,990.73,46.68,189.21

26.52,990.75,46.67,189.21

26.53,990.73,46.62,189.21

26.54,990.75,46.61,189.04

26.55,990.73,46.58,189.21

26.56,990.75,46.56,189.04

26.57,990.75,46.53,189.21

26.57,990.75,46.50,189.37

26.58,990.75,46.48,189.04

26.59,990.73,46.44,189.21

26.59,990.71,46.42,189.21

26.59,990.75,46.39,189.21

26.60,990.75,46.37,189.37

26.60,990.73,46.34,188.87

26.61,990.71,46.32,189.04

26.61,990.71,46.29,189.21

26.61,990.73,46.28,189.21

26.62,990.73,46.25,189.04

26.62,990.71,46.23,189.21

26.63,990.69,46.20,189.21

26.63,990.75,46.17,189.04

26.64,990.75,46.16,189.04

26.65,990.73,46.13,189.21

26.65,990.73,46.12,189.21

26.66,990.75,46.12,189.21

26.66,990.75,46.11,189.04

26.66,990.73,46.09,189.21

26.67,990.73,46.07,189.21

26.67,990.75,46.04,189.21

26.67,990.73,46.02,189.21

26.68,990.73,46.01,189.04

26.68,990.73,45.99,189.21

26.69,990.71,45.98,189.37

26.70,990.73,45.96,189.04

26.70,990.73,45.95,189.21

26.71,990.73,45.92,189.21

26.71,990.75,45.93,189.21

26.72,990.75,45.91,189.21

26.72,990.75,45.89,189.04

26.72,990.73,45.88,189.21

26.72,990.73,45.86,189.21

26.73,990.73,45.84,189.04

26.73,990.73,45.83,189.21

26.73,990.73,45.81,189.21

26.73,990.75,45.80,189.21

26.74,990.75,45.78,189.21

26.74,990.75,45.77,189.21

26.74,990.75,45.76,189.04

26.75,990.73,45.76,189.04

26.75,990.75,45.75,189.21

26.75,990.75,45.74,189.21

26.76,990.75,45.73,189.21

26.76,990.73,45.71,189.04

26.76,990.73,45.70,189.04

26.77,990.73,45.69,189.21

26.77,990.75,45.69,189.21

26.78,990.75,45.66,189.21

26.78,990.75,45.66,189.04

26.78,990.75,45.64,189.04

26.78,990.75,45.65,189.04

26.79,990.75,45.61,189.04

26.79,990.73,45.60,189.21

